Task Query,Type,What do we want to check?,Codebase filepath,DB Table,Could be approach,How will it help in answering the task?
Users make typos constantly. How forgiving should our search be?,Fuzzy Matching,Balance typo tolerance with precision based on query context.,"terrarium-ddsh/search_service:app/search/candidate_generation.py,terrarium-ddsh/search_service:app/es_utils/elasticsearch_client.py,terrarium-ddsh/search_service:app/search/service.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.recommendations_log",Edit-distance based fuzzy matching with adaptive thresholds,Balances typo tolerance with precision based on query context.
"Some users care about price, others about ratings, others about distance. How do we balance all of this?",Multi-Objective Ranking,Learn personalized weight combinations for different ranking factors.,"terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/rerankers-api:deployment/main.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.session_log",Multi-objective ranking optimization with user preferences,Learns personalized weight combinations for different ranking factors.
Our current ranking feels outdated. What features should we consider to modernize it?,Feature Engineering,Identify high-value features for ranking improvement.,"terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/rerankers-api:shared/feature_engineering.py,terrarium-ddsh/rerankers-api:training/evaluate.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendation_items_log,ts-sim.sim.public.session_log",Feature importance analysis with XGBoost,Identifies high-value features for ranking improvement.
Should we stick with our current ranking approach or try something completely different?,Model Comparison,Empirically compare different ranking paradigms.,"terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/rerankers-api:deployment/main.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.recommendation_items_log,ts-sim.sim.public.session_metrics_log",Model comparison between XGBoost and neural architectures,Empirically compares different ranking paradigms.
The interaction between search terms and restaurant descriptions seems important. How do we capture it?,Semantic Matching,Model fine-grained semantic matching between queries and items.,"terrarium-ddsh/rerankers-api:shared/feature_engineering.py,terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:training/train.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.recommendations_log",Cross-attention features between queries and documents,Models fine-grained semantic matching between queries and items.
Can we predict what users will search for next based on their history?,Sequential Modeling,Enable proactive suggestions and result pre-fetching.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/routers/users.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.agent_conversation_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log,ts-sim.sim.public.user_session_cache",Sequential modeling of search sessions,Enables proactive suggestions and result pre-fetching.
New cuisine types pop up (Korean-Mexican fusion?). How do we handle things we've never seen?,Zero-Shot Learning,Handle new categories without retraining using compositional understanding.,"terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:shared/feature_engineering.py,terrarium-ddsh/search_service:app/es_utils/elasticsearch_client.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.recommendations_log",Zero-shot learning with semantic similarity,Handles new categories without retraining using compositional understanding.
We're getting searches in Spanish and other languages. Our system only knows English. Help!,Multilingual Support,Enable search in multiple languages without separate models.,"terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:shared/feature_engineering.py,terrarium-ddsh/search_service:app/search/service.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.agent_conversation_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log",Multilingual embeddings with cross-lingual transfer,Enables search in multiple languages without separate models.
Voice searches are different from typed searches. Should we rank results differently?,Multi-Modal Ranking,Adapt ranking based on input modality characteristics.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:training/train.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log",Multi-modal ranking with query type features,Adapts ranking based on input modality characteristics.
Should breakfast search results be different from dinner search results? What about weather?,Contextual Reranking,Incorporate real-time context for more relevant results.,"terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.session_log,ts-sim.sim.public.session_selection",Contextual reranking with temporal and environmental features,Incorporates real-time context for more relevant results.
"Users want to know WHY we recommended something, not just see the recommendation.",Interpretability,Generate human-readable explanations for each recommendation.,"terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/search/reranking.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.recommendation_items_log",Interpretable ranking with feature attribution,Generates human-readable explanations for each recommendation.
We need to improve our search but have limited labeled data. What's the most efficient approach?,Active Learning,Identify most informative examples for human annotation.,"terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/search/service.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log",Active learning for relevance labeling,Identifies most informative examples for human annotation.
Search patterns seem to be changing recently. Is this real or just normal variation?,Drift Detection,Distinguish true distribution shifts from random fluctuations.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/es_utils/elasticsearch_client.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log,ts-sim.sim.public.system_runs_log",Concept-Drift Detection using ADWIN or Kolmogorov tests,Distinguishes true distribution shifts from random fluctuations.
Some restaurants' order volumes are way off their usual patterns. What's happening?,Anomaly Detection,Identify unusual restaurant performance requiring investigation.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/search_service:app/db/crud/restaurant.py,terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log",Anomaly detection using Isolation Forest on multivariate patterns,Identifies unusual restaurant performance requiring investigation.
We occasionally see extreme spikes in prices or ratings. How do we handle these outliers?,Outlier Modeling,Properly model and handle rare extreme events.,"terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.reviews",Extreme Value Theory for tail modeling,Properly models and handles rare extreme events.
User preferences shifted suddenly last month. Can we detect these changes automatically?,Change Detection,Automatically identify when user behavior patterns change.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/search/service.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders,ts-sim.sim.public.session_log",Change point detection in time series,Automatically identifies when user behavior patterns change.
"When multiple metrics go weird at once, how do we know if it's related or coincidence?",Multivariate Analysis,Identify systemic issues vs independent anomalies.,"terrarium-ddsh/rerankers-api:training/metrics.py,terrarium-ddsh/search_service:app/main.py,terrarium-ddsh/rerankers-api:deployment/main.py","ts-sim.sim.public.api_call_log,ts-sim.sim.public.llm_performance_log,ts-sim.sim.public.session_metrics_log,ts-sim.sim.public.system_runs_log",Multivariate anomaly detection with correlation analysis,Identifies systemic issues vs independent anomalies.
"Our metrics have weekly patterns, seasonal trends, and random noise. How do we separate them?",Time Series Decomposition,"Isolate trend, seasonal, and residual components for analysis.","terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/metrics.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log,ts-sim.sim.public.session_log",Seasonal decomposition of time series (STL),"Isolates trend, seasonal, and residual components for analysis."
Can we catch search quality problems immediately instead of waiting for user complaints?,Real-Time Monitoring,Enable proactive quality monitoring and rapid response.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/metrics.py","ts-sim.sim.public.api_call_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_metrics_log",Real-time streaming anomaly detection,Enables proactive quality monitoring and rapid response.
Some reviews look fake - too many 5-stars in a short time. How do we catch this?,Fraud Detection,Identify suspicious review activity for investigation.,"terrarium-ddsh/search_service:app/models.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/routers/restaurants.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.reviews",Unsupervised fraud detection on review patterns,Identifies suspicious review activity for investigation.
"When the system slows down, which metrics should we check first to find the problem?",Root Cause Analysis,Prioritize diagnostic metrics by predictive power.,"terrarium-ddsh/search_service:app/main.py,terrarium-ddsh/search_service:app/es_utils/elasticsearch_client.py,terrarium-ddsh/rerankers-api:deployment/main.py","ts-sim.sim.public.api_call_log,ts-sim.sim.public.llm_performance_log,ts-sim.sim.public.session_metrics_log,ts-sim.sim.public.system_runs_log",Correlation analysis for root cause identification,Prioritizes diagnostic metrics by predictive power.
"We have power users, casual users, and everything in between. Are there hidden user types we're missing?",User Segmentation,Discover natural user segments with targeted strategies.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/db/crud/user.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders,ts-sim.sim.public.session_log",User behavior clustering with validation,Discovers natural user segments with similar demand characteristics for targeted strategies.
Some users seem to be gaming our promotional system. How do we identify them?,Fraud Detection,Flag users exploiting promotions beyond intended use.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/search_service:app/models.py,terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log,ts-sim.sim.public.user_promo_cache",Behavioral pattern analysis for abuse detection,Flags users exploiting promotions beyond intended use.
Restaurant data updates sometimes have errors. Can we catch these before they affect users?,Data Quality Monitoring,Prevent bad data from reaching production systems.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/search_service:app/db/crud/restaurant.py,terrarium-ddsh/search_service:app/es_utils/elasticsearch_client.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state",Data quality monitoring with validation rules,Prevents bad data from reaching production systems.
How many servers will we need for next month's expected traffic?,Capacity Planning,Predict capacity needs based on growth patterns.,"terrarium-ddsh/search_service:app/main.py,terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/search_service:app/search/service.py","ts-sim.sim.public.api_call_log,ts-sim.sim.public.llm_performance_log,ts-sim.sim.public.session_log,ts-sim.sim.public.system_runs_log",Capacity planning with time series forecasting,Predicts infrastructure needs based on growth patterns.
We get hundreds of system alerts daily. Which ones actually matter for the business?,Alert Prioritization,Focus attention on alerts that affect revenue or user experience.,"terrarium-ddsh/search_service:app/main.py,terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/metrics.py","ts-sim.sim.public.api_call_log,ts-sim.sim.public.orders,ts-sim.sim.public.session_metrics_log,ts-sim.sim.public.system_runs_log",Alert prioritization by business impact,Focuses attention on alerts that affect revenue or user experience.
"When conversion drops, is it the search algorithm, the UI, or something else? We need faster diagnosis.",Root Cause Analysis,Rapidly identify source of performance degradations.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/rerankers-api:deployment/main.py","ts-sim.sim.public.action_results_log,ts-sim.sim.public.api_call_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_metrics_log",Automated root cause analysis with causal graphs,Rapidly identifies source of performance degradations.
Users who joined in January behave differently from those who joined in June. Why?,Cohort Analysis,Reveal how acquisition timing affects long-term behavior.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/db/crud/user.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders,ts-sim.sim.public.session_log",Cohort analysis with temporal features,Reveals how acquisition timing affects long-term behavior.
What's the long-term value of a user who orders Thai food versus pizza?,CLV Prediction,Enable targeted acquisition and retention strategies.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.reviews,ts-sim.sim.public.session_log",Customer lifetime value prediction by preferences,Enables targeted acquisition and retention strategies.
"Which users are about to stop using our service, and can we win them back?",Churn Prediction,Identify at-risk users and optimal retention actions.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log,ts-sim.sim.public.session_log,ts-sim.sim.public.user_session_cache",Churn prediction with intervention modeling,Identifies at-risk users and optimal retention actions.
What items do users typically order together? This could improve our suggestions.,Association Analysis,Discover item affinities for better recommendations.,"terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/search_service:app/search/service.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders",Association rule mining for menu items,Discovers item affinities for better recommendations.
"Restaurant reviews contain gold - complaints, compliments, suggestions. What are the main themes?",Text Analysis,Extract actionable insights from unstructured feedback.,"terrarium-ddsh/search_service:app/models.py,terrarium-ddsh/rerankers-api:shared/feature_engineering.py,terrarium-ddsh/search_service:app/routers/restaurants.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.reviews",Topic modeling and sentiment analysis on reviews,Extracts actionable insights from unstructured feedback.
Can we predict tomorrow's order volume for each neighborhood?,Forecasting,Enable proactive capacity management and marketing.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.session_log",Spatial-temporal demand forecasting,Enables proactive capacity management and marketing.
How do our restaurants stack up against each other in the same area?,Benchmarking,Identify relative strengths and improvement opportunities.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/search_service:app/db/crud/restaurant.py,terrarium-ddsh/rerankers-api:training/metrics.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.reviews",Competitive benchmarking within geographic clusters,Identifies relative strengths and improvement opportunities.
What path do users typically take from first search to first order?,Journey Mapping,Optimize conversion funnel and identify friction points.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/routers/users.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log,ts-sim.sim.public.turn_context_log",User journey mapping with process mining,Optimizes conversion funnel and identifies friction points.
"Marketing claims they drove the revenue increase, product claims it was the new features. Who's right?",Attribution,Fairly allocate credit across multiple touchpoints.,"terrarium-ddsh/rerankers-api:training/metrics.py,terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/search_service:app/main.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log,ts-sim.sim.public.session_log,ts-sim.sim.public.system_runs_log",Multi-touch attribution modeling,Fairly allocates credit across multiple touchpoints.
Small restaurants have limited data. Can we use information from similar restaurants to help?,Hierarchical Modeling,Improve estimates for data-sparse entities using group information.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/search_service:app/db/crud/restaurant.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.reviews",Bayesian Hierarchical Models for information pooling,Improves estimates for data-sparse entities using group information.
Where should we encourage new restaurants to open based on user demand?,Gap Analysis,Identify underserved areas with high potential.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.session_log",Geo-spatial gap analysis with demand modeling,Identifies underserved areas with high potential.
"Which menu items are stars, puzzles, workhorses, or dogs from a business perspective?",Menu Engineering,Classify items by profitability and popularity for strategic decisions.,"terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/db/crud/menu_item.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders",Menu engineering matrix analysis,Classifies items by profitability and popularity for strategic decisions.
Is personalization actually helping our business or just making the system more complex?,Impact Analysis,Quantify true business value of personalization investment.,"terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/search/reranking.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_metrics_log",Causal impact analysis of personalization features,Quantifies true business value of personalization investment.
We think the same users use both our app and website. Can we confirm this?,User Matching,Enable unified user view for better personalization.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/db/crud/user.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.session_log,ts-sim.sim.public.user_session_cache",Probabilistic user matching across platforms,Enables unified user view for better personalization.
Some restaurants are always busy while others struggle. How do we balance this?,Optimization,Redistribute demand for better utilization and fairness.,"terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:deployment/main.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.impression_log,ts-sim.sim.public.orders",Supply-demand matching optimization,Redistributes demand for better utilization and fairness.
Should we keep showing users their favorite restaurants or push them to try new ones?,Explore-Exploit Balance,Balance user satisfaction with discovery and diversity.,"terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/train.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log",Exploration-exploitation optimization in recommendations,Balances user satisfaction with discovery and diversity.
Do users influence their friends' restaurant choices? This could change our growth strategy.,Network Effects,Quantify viral potential and network-based growth opportunities.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.reviews,ts-sim.sim.public.session_log",Social network effect analysis,Quantifies viral potential and network-based growth opportunities.
Can we group restaurants by their order patterns to better understand our inventory?,Clustering,Identify restaurant segments with similar demand characteristics.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/db/crud/restaurant.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.session_log",Time series clustering on order patterns,Identifies restaurant segments with similar demand characteristics with similar demand characteristics.
What really drives search success? We have theories but need a clear picture.,Causal Discovery,Reveal true causal relationships between factors.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/rerankers-api:training/evaluate.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log,ts-sim.sim.public.session_metrics_log",Causal graph construction from observational data,Reveals true causal relationships between factors.
The CEO wants a dashboard showing real-time business health. What should we include and how do we calculate it?,KPI Dashboard,Provide actionable business intelligence at appropriate granularity.,"terrarium-ddsh/search_service:app/main.py,terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/metrics.py,terrarium-ddsh/rerankers-api:notebooks/data_proc.ipynb","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.session_metrics_log,ts-sim.sim.public.system_runs_log",Executive KPI aggregation with drill-down capabilities,Provides actionable business intelligence at appropriate granularity.
